solar-UPV,wind-new,storage_level,storage_capacity,line
0.0,0.0,4.408213941229643e-13,1.1020534853074107e-13,1.842870760606033e-14
0.0,0.0,4.425874174138581e-13,1.1064685435346453e-13,1.5559674057661965e-14
0.0,0.0,4.3762899732862935e-13,1.0940724933215734e-13,5.7147152957182476e-15
0.0,0.0,4.3934385372159324e-13,1.0983596343039831e-13,1.3222783084185018e-14
0.0,0.0,4.3842212437477553e-13,1.0960553109369388e-13,2.00941179926451e-14
0.0,0.0,4.4105286750479416e-13,1.1026321687619854e-13,2.457534397365563e-14
0.0,0.0,4.394274276786576e-13,1.098568569196644e-13,1.2273234257713183e-14
0.0,0.0,4.3988087176903257e-13,1.0997021794225814e-13,1.8609254937503553e-14
0.0,0.0,4.40381953203919e-13,1.1009548830097975e-13,2.2436961357396918e-14
0.0,0.0,4.3764899718493563e-13,1.0941224929623391e-13,1.4972737933142717e-14
0.0,0.0,4.3919096727776656e-13,1.0979774181944164e-13,1.3384023632986809e-14
0.0,0.0,0.0,0.0,1.225774781504215e-14
0.0,0.0,0.0,0.0,4.9302323975813386e-14
0.0,0.0,0.0,0.0,7.461838019448281e-15
0.0,0.0,0.0,0.0,1.6820050556680847e-14
0.0,0.0,0.0,0.0,3.4417787054518916e-14
0.0,0.0,0.0,0.0,2.573638110507289e-14
0.0,0.0,0.0,0.0,2.1430361318700735e-14
0.0,0.0,0.0,0.0,2.027091336232462e-14
0.0,0.0,0.0,0.0,1.1947444742932712e-14
0.0,0.0,0.0,0.0,2.1917559060146467e-14
0.0,0.0,0.0,0.0,1.1054603899875715e-14
0.0,0.0,0.0,0.0,2.8151438878286498e-14
0.0,0.0,0.0,0.0,3.0949658377495195e-14
0.0,0.0,0.0,0.0,1.1942587046264072e-14
0.0,0.0,0.0,0.0,2.4935495405380425e-14
0.0,0.0,0.0,0.0,3.827580873586792e-14
0.0,0.0,0.0,0.0,1.1786123109762072e-14
0.0,0.0,0.0,0.0,3.2590051423549114e-14
0.0,0.0,0.0,0.0,4.5031002937292615e-14
0.0,0.0,0.0,0.0,1.6930160886568504e-14
0.0,0.0,0.0,0.0,6.612422125010304e-15
0.0,0.0,0.0,0.0,1.7464265627103674e-14
0.0,0.0,0.0,0.0,1.2797406769525552e-14
0.0,0.0,0.0,0.0,1.1767610713028184e-14
0.0,0.0,0.0,0.0,1.6319520519559845e-14
0.0,0.0,0.0,0.0,1.5061230664812522e-14
0.0,0.0,0.0,0.0,2.185075263694671e-14
0.0,0.0,0.0,0.0,1.4609087813603793e-14
0.0,0.0,0.0,0.0,1.9067655160832526e-14
0.0,0.0,0.0,0.0,1.0129633740470221e-14
0.0,0.0,0.0,0.0,1.8916614838178558e-14
0.0,0.0,0.0,0.0,1.0429269882267147e-14
0.0,0.0,0.0,0.0,2.081975646483379e-14
0.0,0.0,0.0,0.0,1.2176654746597355e-14
0.0,0.0,0.0,0.0,1.4986746902063234e-14
0.0,0.0,0.0,0.0,2.3205215650198324e-14
0.0,0.0,0.0,0.0,9.693896626808901e-15
0.0,0.0,0.0,0.0,6.253493817689408e-15
0.0,0.0,0.0,0.0,1.2686062530860914e-14
0.0,0.0,0.0,0.0,2.0169985062968437e-14
0.0,0.0,0.0,0.0,2.094078142762957e-14
0.0,0.0,0.0,0.0,8.55370487655178e-15
0.0,0.0,0.0,0.0,1.8837918933090264e-14
0.0,0.0,0.0,0.0,1.394338028921308e-14
0.0,0.0,0.0,0.0,1.7822895313461923e-14
0.0,0.0,0.0,0.0,1.0796059351146593e-14
0.0,0.0,0.0,0.0,1.4850356671818174e-14
0.0,0.0,0.0,0.0,1.7685539665136156e-14
0.0,0.0,0.0,0.0,2.3100068081251472e-14
0.0,0.0,0.0,0.0,9.917141480772276e-15
0.0,0.0,0.0,0.0,1.508657266694862e-14
0.0,0.0,0.0,0.0,4.6785913209799845e-15
0.0,0.0,0.0,0.0,1.6573401064016932e-14
0.0,0.0,0.0,0.0,1.2907752293482813e-14
0.0,0.0,0.0,0.0,1.789913188244055e-14
0.0,0.0,0.0,0.0,1.464432142945057e-14
0.0,0.0,0.0,0.0,2.1705063247234172e-14
0.0,0.0,0.0,0.0,7.996004871685508e-15
0.0,0.0,0.0,0.0,1.8329375943853647e-14
0.0,0.0,0.0,0.0,4.0083090872802373e-14
0.0,0.0,0.0,0.0,1.6627537886678492e-14
0.0,0.0,0.0,0.0,1.9431038723177552e-14
0.0,0.0,0.0,0.0,1.7045038306269426e-14
0.0,0.0,0.0,0.0,1.5964910337414838e-14
